"# CarMaker trajectory export, merged from Orientations_1.xls + Translations_2.xls"
"# Frame: ISO 8855 (X forward, Y left, Z up). Units: time=s, tx/ty/tz=m, pitch/roll/yaw=deg"
# Trailing repeated end-of-sim samples have been removed via dedup-by-time.
time_s,tx_m,ty_m,tz_m,pitch_deg,roll_deg,yaw_deg
3.080000,-79.562325,0.553214,0.000000,-0.013174,-0.146388,180.650723
3.090000,-79.810555,0.550320,0.000000,-0.013173,-0.146059,180.643892
3.100000,-80.058800,0.547456,0.000000,-0.013172,-0.145713,180.637076
3.110000,-80.307060,0.544620,0.000000,-0.013169,-0.145353,180.630300
3.120000,-80.555328,0.541814,0.000000,-0.013167,-0.144977,180.623552
3.130000,-80.803619,0.539037,0.000000,-0.013163,-0.144586,180.616831
3.140000,-81.051918,0.536288,0.000000,-0.013159,-0.144181,180.610124
3.150000,-81.300224,0.533568,0.000000,-0.013153,-0.143761,180.603471
3.160000,-81.548546,0.530877,0.000000,-0.013147,-0.143326,180.596832
3.170000,-81.796883,0.528214,0.000000,-0.013140,-0.142877,180.590221
3.180000,-82.045235,0.525579,0.000000,-0.013131,-0.142414,180.583650
3.190000,-82.293594,0.522973,0.000000,-0.013121,-0.141938,180.577107
3.200000,-82.541969,0.520394,0.000000,-0.013110,-0.141447,180.570604
3.210000,-82.790359,0.517844,0.000000,-0.013097,-0.140943,180.564129
3.220000,-83.038757,0.515321,0.000000,-0.013083,-0.140426,180.557682
3.230000,-83.287170,0.512827,0.000000,-0.013068,-0.139896,180.551275
3.240000,-83.535591,0.510359,0.000000,-0.013051,-0.139353,180.544896
3.250000,-83.784027,0.507919,0.000000,-0.013032,-0.138798,180.538557
3.260000,-84.032478,0.505507,0.000000,-0.013011,-0.138230,180.532260
3.270000,-84.280945,0.503121,0.000000,-0.012989,-0.137650,180.525990
3.280000,-84.529419,0.500763,0.000000,-0.012965,-0.137058,180.519760
3.290000,-84.777908,0.498431,0.000000,-0.012939,-0.136454,180.513572
3.300000,-85.026405,0.496127,0.000000,-0.012912,-0.135838,180.507411
3.310000,-85.274918,0.493848,0.000000,-0.012882,-0.135211,180.501292
3.320000,-85.523445,0.491596,0.000000,-0.012851,-0.134573,180.495213
3.330000,-85.771988,0.489371,0.000000,-0.012817,-0.133924,180.489175
3.340000,-86.020538,0.487171,0.000000,-0.012782,-0.133263,180.483164
3.350000,-86.269096,0.484998,0.000000,-0.012745,-0.132592,180.477208
3.360000,-86.517670,0.482850,0.000000,-0.012706,-0.131910,180.471280
3.370000,-86.766258,0.480728,0.000000,-0.012665,-0.131218,180.465392
3.380000,-87.014862,0.478631,0.000000,-0.012622,-0.130514,180.459559
3.390000,-87.263474,0.476560,0.000000,-0.012577,-0.129801,180.453754
3.400000,-87.512100,0.474513,0.000000,-0.012530,-0.129078,180.448002
3.410000,-87.760735,0.472492,0.000000,-0.012482,-0.128344,180.442279
3.420000,-88.009384,0.470495,0.000000,-0.012431,-0.127600,180.436610
3.430000,-88.258041,0.468523,0.000000,-0.012378,-0.126847,180.430982
3.440000,-88.506721,0.466576,0.000000,-0.012324,-0.126084,180.425395
3.450000,-88.755402,0.464652,0.000000,-0.012268,-0.125311,180.419848
3.460000,-89.004105,0.462753,0.000000,-0.012209,-0.124529,180.414343
3.470000,-89.252808,0.460878,0.000000,-0.012149,-0.123737,180.408893
3.480000,-89.501534,0.459026,0.000000,-0.012087,-0.122936,180.403483
3.490000,-89.750267,0.457198,0.000000,-0.012023,-0.122126,180.398115
3.500000,-89.999016,0.455393,0.000000,-0.011957,-0.121308,180.392787
3.510000,-90.247772,0.453612,0.000000,-0.011889,-0.120480,180.387514
3.520000,-90.496536,0.451853,0.000000,-0.011820,-0.119644,180.382296
3.530000,-90.745323,0.450117,0.000000,-0.011748,-0.118799,180.377105
3.540000,-90.994118,0.448404,0.000000,-0.011675,-0.117946,180.371969
3.550000,-91.242920,0.446713,0.000000,-0.011600,-0.117084,180.366887
3.560000,-91.491737,0.445044,0.000000,-0.011523,-0.116214,180.361846
3.570000,-91.740562,0.443397,0.000000,-0.011444,-0.115337,180.356860
3.580000,-91.989410,0.441772,0.000000,-0.011363,-0.114451,180.351915
3.590000,-92.238258,0.440169,0.000000,-0.011281,-0.113557,180.347011
3.600000,-92.487122,0.438587,0.000000,-0.011197,-0.112655,180.342176
